cluster,lat,lon
6,48.28,-121.52
6,48.28,-121.27
6,48.28,-121.02
9,48.28,-120.77
9,48.28,-120.52
9,48.28,-120.27
0,48.28,-120.02
0,48.28,-119.77
0,48.28,-119.52
0,48.28,-119.27
0,48.28,-119.02
0,48.28,-118.77
8,48.28,-118.52
8,48.28,-118.27
8,48.28,-118.02
8,48.28,-117.77
5,48.28,-117.52
5,48.28,-117.27
5,48.28,-117.02
5,48.28,-116.77
3,48.53,-124.77
3,48.53,-124.52
3,48.53,-124.27
3,48.53,-124.02
3,48.53,-123.77
3,48.53,-123.52
3,48.53,-123.27
3,48.53,-123.02
3,48.53,-122.77
3,48.53,-122.52
4,48.53,-122.27
4,48.53,-122.02
6,48.53,-121.77
6,48.53,-121.52
9,48.53,-121.27
9,48.53,-121.02
9,48.53,-120.77
9,48.53,-120.52
9,48.53,-120.27
9,48.53,-120.02
8,48.53,-119.77
8,48.53,-119.52
8,48.53,-119.27
8,48.53,-119.02
8,48.53,-118.77
8,48.53,-118.52
8,48.53,-118.27
8,48.53,-118.02
5,48.53,-117.77
5,48.53,-117.52
5,48.53,-117.27
5,48.53,-117.02
5,48.53,-116.77
3,48.78,-124.77
3,48.78,-124.52
3,48.78,-124.27
3,48.78,-124.02
3,48.78,-123.77
3,48.78,-123.52
3,48.78,-123.27
3,48.78,-123.02
3,48.78,-122.77
3,48.78,-122.52
4,48.78,-122.27
4,48.78,-122.02
6,48.78,-121.77
6,48.78,-121.52
9,48.78,-121.27
9,48.78,-121.02
9,48.78,-120.77
9,48.78,-120.52
9,48.78,-120.27
9,48.78,-120.02
8,48.78,-119.77
8,48.78,-119.52
8,48.78,-119.27
8,48.78,-119.02
8,48.78,-118.77
8,48.78,-118.52
8,48.78,-118.27
8,48.78,-118.02
5,48.78,-117.77
5,48.78,-117.52
5,48.78,-117.27
5,48.78,-117.02
5,48.78,-116.77
3,49.03,-124.77
3,49.03,-124.52
3,49.03,-124.27
3,49.03,-124.02
3,49.03,-123.77
3,49.03,-123.52
3,49.03,-123.27
3,49.03,-123.02
3,49.03,-122.77
3,49.03,-122.52
3,49.03,-122.27
4,49.03,-122.02
6,49.03,-121.77
9,49.03,-121.52
9,49.03,-121.27
9,49.03,-121.02
9,49.03,-120.77
9,49.03,-120.52
9,49.03,-120.27
9,49.03,-120.02
8,49.03,-119.77
8,49.03,-119.52
8,49.03,-119.27
8,49.03,-119.02
8,49.03,-118.77
8,49.03,-118.52
8,49.03,-118.27
8,49.03,-118.02
5,49.03,-117.77
5,49.03,-117.52
5,49.03,-117.27
5,49.03,-117.02
5,49.03,-116.77
